date,국내주식_코스피,국내주식_코스닥,미국주식_SP500,미국주식_나스닥,신흥국_인도,신흥국_중국,국내채권_국고채단중기,국내채권_국고채장기,국내채권_회사채,국내채권_종합,해외채권_미국국채,원자재_금,무위험(현금성)
2016-01-29,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
2016-04-27,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
2016-07-25,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
2016-10-20,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
2017-01-17,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
2017-04-14,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
2017-07-12,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
2017-10-09,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
2018-01-08,10.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,10.0
2018-04-05,10.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,10.0
2018-07-03,10.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,10.0
2018-09-28,10.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,10.0
2018-12-27,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
2019-03-27,10.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,10.0
2019-06-24,10.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,10.0
2019-09-19,10.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,10.0
2019-12-17,10.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,10.0
2020-03-16,10.0,40.0,0.0,0.0,0.0,0.0,1.0,40.0,0.0,8.0,0.0,0.0,1.0
2020-06-11,10.0,40.0,0.0,0.0,0.0,0.0,1.0,40.0,0.0,8.0,0.0,0.0,1.0
2020-09-08,10.0,40.0,0.0,0.0,0.0,0.0,1.0,40.0,0.0,8.0,0.0,0.0,1.0
2020-12-04,10.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,9.0,0.0,0.0,1.0
2021-03-04,1.0,40.0,10.0,40.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2021-06-01,1.0,40.0,10.0,40.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2021-08-27,1.0,39.7,10.0,40.0,0.0,6.3,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2021-11-24,1.0,39.3,11.0,39.0,0.0,6.7,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2022-02-21,1.0,40.0,10.0,40.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
2022-05-19,1.0,40.0,10.0,40.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
2022-08-16,1.0,40.0,10.0,40.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
2022-11-11,1.0,40.0,10.0,40.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
2023-02-08,1.0,31.2,10.0,40.0,0.0,12.8,0.0,1.0,1.0,1.0,0.0,1.0,1.0
2023-05-08,1.0,31.8,10.0,40.0,0.0,12.2,0.0,1.0,1.0,1.0,0.0,1.0,1.0
2023-08-03,1.0,32.3,10.0,40.0,0.0,11.7,0.0,1.0,1.0,1.0,0.0,1.0,1.0
2023-10-31,1.0,32.8,10.0,40.0,0.0,12.2,0.0,1.0,1.0,1.0,0.0,0.0,1.0
2024-01-29,1.0,29.0,10.0,40.0,14.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
2024-04-25,1.0,29.0,10.0,40.0,13.9,1.1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
2024-07-23,1.0,29.0,10.0,40.0,13.3,1.7,0.0,1.0,1.0,1.0,1.0,0.0,1.0
2024-10-18,1.0,29.0,10.0,40.0,12.1,2.9,0.0,1.0,1.0,1.0,1.0,0.0,1.0
2025-01-16,1.0,27.0,10.0,40.0,1.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
